user_id,elite_status
Q2Z-PJvvA_wjYtYh3usk0A,
MZjC597PeldMTxUKiztZNg,"
                

    Elite 2014

                

    ’13

                

    ’12

        "
OD_m-3GAr7mT-DYTF2CRiA,
5wzSRglhnkrxzd5qrJdCRQ,
NK57S3DnyGImYFunmm0A8g,
l4l0SHDBTjjmAoCDSjz8DQ,
it2Lr3ZVr5EEMgHXxLzqKQ,
gEgGA0UvruoNQe7kEnpvKw,
oNMSGUU0g8zFfpfSh--xyQ,
cxjTyQwZoRETvxjH7ojjKA,
8X_VVWm_WQwFl5ctyBJZ0A,
gAtqUzbAWqL1Qipbvl1vvw,
dRzgWKHQonRy4vHxbUxE5Q,"
                

    Elite 2013

                

    ’12

        "
EwD9T4FK9e0VE18MUMsptw,
ZSO82ZgvqWKGBJM1sLLgRg,
vaMU--p9OVa4oW7q6Dge2g,
hs6lmy7XZjCB6UXxN4GHIA,
bhAVmNGhDRtf58J3Des1Fg,
NBw0sOHoVCNDHky7t1WoQw,
1bvHzCqn_3l_ngorKDZdXA,
UPEa9tPhUAk18qTHal_d1g,"
                

    Elite 2018

                

    ’17

                

    ’16

        "
3NQS647n6Ao06P2fMr4Gyw,
J7Yiouo6rVp4OiZgfI2ksg,
5yOClwcgXUR6f6LZJUWt4w,
AvrLhsNgBmIoXUCdfDfqPA,
cODc63Mpv71rLv6a0hkp4Q,
Wea5YECe8NClhcMu2Yji8A,"
                

    Elite 2017

                

    ’16

        "
y2Jn5z3xgS2cdpdWFmU2_g,
vqOaJpDb7xMsxWyOklMxxw,
evXOTTMaa3DLtZ3TVF6M5A,
24QC_n0oo3GnYuwqH209VQ,
89BjYfuFwG2A52h0iIvl3g,
DhXqT5sy07oXR55-f4rW0g,
lale6wOwUvQE15413NKUaw,
lChZwWM6zn1fk_MpIuPTuQ,
es9NBcYLeCq8wOgPPelyrw,
5fj1GxcUkRL29J2VOgMDTQ,
7mxTVWvo8c70unwi1yM_8Q,
1AVbU4mVLI04orC7JDm9PQ,
8Acb6wUNaaA9NbKnehfmYA,
JN-EGC7mfPZaqtK4BpGM_Q,
C1D6NsrcRST4Pk90ikRHIg,
Ug76dGe9auUb9Rv0Z8VuJQ,
Z3D9rOdbVUoN6GcNIjD5aQ,
o2fmVJZUBxNkHdpMvQNopw,
Gibc7aKrNFQ7K3HehZ372w,
3yLXXQ9bXYr0MyNjLNPJeQ,
xx3GdroqdGG-hiC6mwZmQQ,
